string,strike_price,icici_symbol,right,Expiry Day,Expiry Month,Expiry Year,expiry
PNB25SEP_95CE,95,PUNBAN,Call,30,09,2025,2025-09-30
HEROMOTOCO25SEP_5200CE,5200,HERHON,Call,30,09,2025,2025-09-30
TATASTEEL25SEP_147.5CE,147.5,TATSTE,Call,30,09,2025,2025-09-30
ADANIGREEN25SEP_1000CE,1000,ADANIG,Call,30,09,2025,2025-09-30
MARUTI25SEP_13400CE,13400,MARUTI,Call,30,09,2025,2025-09-30
YESBANK25SEP_18CE,18,YESBAN,Call,30,09,2025,2025-09-30
HINDUNILVR25SEP_2720PE,2720,HINLEV,Put,30,09,2025,2025-09-30
BANKBARODA25SEP_227.5CE,227.5,BANBAR,Call,30,09,2025,2025-09-30
VEDL25SEP_400CE,400,VEDLIM,Call,30,09,2025,2025-09-30
COFORGE25SEP_1760PE,1760,NIITEC,Put,30,09,2025,2025-09-30
ADANIPORTS25SEP_1360CE,1360,ADAPOR,Call,30,09,2025,2025-09-30
ADANIPORTS25SEP_1360CE,1360,ADAPOR,Call,30,09,2025,2025-09-30
TITAN25SEP_3800PE,3800,TITIND,Put,30,09,2025,2025-09-30
BANKINDIA25SEP_105CE,105,BANKIND,Call,30,09,2025,2025-09-30
HEROMOTOCO25SEP_5250CE,5250,HERHON,Call,30,09,2025,2025-09-30
JSWSTEEL25SEP_1010CE,1010,JSWSTE,Call,30,09,2025,2025-09-30
UNIONBANK25SEP_127.5CE,127.5,UNIBAN,Call,30,09,2025,2025-09-30
HINDALCO25SEP_680CE,680,HINDAL,Call,30,09,2025,2025-09-30
SYNGENE25SEP_730PE,730,SYNINT,Put,30,09,2025,2025-09-30
LTF25SEP_197.5CE,197.5,LTFINA,Call,30,09,2025,2025-09-30
GODREJCP25SEP_1240PE,1240,GODCON,Put,30,09,2025,2025-09-30
MANAPPURAM25SEP_255CE,255,MANAFI,Call,30,09,2025,2025-09-30
BANKBARODA25SEP_257.5CE,257.5,BANBAR,Call,30,09,2025,2025-09-30
KALYANKJIL25SEP_480PE,480,KALJEW,Put,30,09,2025,2025-09-30
BRITANNIA25SEP_5550CE,5550,BRIIND,Call,30,09,2025,2025-09-30
TECHM25SEP_1500PE,1500,TECMAH,Put,30,09,2025,2025-09-30
DABUR25SEP_530PE,530,DABIND,Put,30,09,2025,2025-09-30
DALBHARAT25SEP_2420PE,2420,ODICEM,Put,30,09,2025,2025-09-30
EICHERMOT25SEP_5500CE,5500,EICMOT,Call,30,09,2025,2025-09-30
IOC25SEP_130CE,130,INDOIL,Call,30,09,2025,2025-09-30
PNBHOUSING25SEP_680CE,680,PNBHOU,Call,30,09,2025,2025-09-30
TATASTEEL25SEP_167.5CE,167.5,TATSTE,Call,30,09,2025,2025-09-30
BAJFINANCE25SEP_800CE,800,BAJFI,Call,30,09,2025,2025-09-30
PAGEIND25SEP_46000PE,46000,PAGIND,Put,30,09,2025,2025-09-30
ADANIPORTS25SEP_1320CE,1320,ADAPOR,Call,30,09,2025,2025-09-30
ADANIPORTS25SEP_1320CE,1320,ADAPOR,Call,30,09,2025,2025-09-30
DABUR25SEP_535PE,535,DABIND,Put,30,09,2025,2025-09-30
CROMPTON25SEP_360PE,360,CROGR,Put,30,09,2025,2025-09-30
BHARATFORG25SEP_1040CE,1040,BHAFOR,Call,30,09,2025,2025-09-30
SAIL25SEP_112.5CE,112.5,SAIL,Call,30,09,2025,2025-09-30
NATIONALUM25SEP_165CE,165,NATALU,Call,30,09,2025,2025-09-30
DIVISLAB25SEP_6400PE,6400,DIVLAB,Put,30,09,2025,2025-09-30
KPITTECH25SEP_1180PE,1180,KPITE,Put,30,09,2025,2025-09-30
PFC25SEP_380CE,380,POWFIN,Call,30,09,2025,2025-09-30
TCS25SEP_3220PE,3220,TCS,Put,30,09,2025,2025-09-30
